Sample	Contig	Mean
Sample3	1_1-1-453--1-ID=1_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.660	1.8448845
Sample3	1_3-772-1305-1-ID=1_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.685	1.2786459
Sample3	1_6-3382-4794--1-ID=1_6;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.639	0.77751386
Sample3	2_1-1-2652--1-ID=2_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.592	1.716227
Sample3	3_1-1-429--1-ID=3_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.718	0.53763443
Sample3	3_2-429-779--1-ID=3_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.687	1.4328358
Sample3	11_1-3-1172--1-ID=11_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.614	1.6088235
Sample3	11_2-1252-2070--1-ID=11_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.601	1.0986547
Sample3	14_1-85-1245--1-ID=14_1;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.674	2.5835807
Sample3	19_2-567-860-1-ID=19_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.531	1.6458334
Sample3	27_2-543-2027--1-ID=27_2;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.708	3.3460674
Sample3	28_2-331-1557-1-ID=28_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.661	3.652739
Sample3	28_3-1712-2098--1-ID=28_3;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.649	1.3459916
